,Product_ID,Product_Name,Category,Material_Type,Recyclable,Price_USD,Rating,Supplier,Country_of_Origin,Carbon_Footprint_kgCO2
0,EFP001,Natural Glass Spatula,Kitchen,Glass,Yes,32.49,4.59,NaturePro,Brazil,0.592
1,EFP002,Sustainable Glass Face Cloth,Beauty,Glass,Yes,6.9,5.0,EcoLine,China,1.205
2,EFP003,Reusable Organic Cotton Scarf,Fashion,Organic Cotton,Yes,17.01,3.92,RenewGoods,India,0.698
3,EFP004,Biodegradable Glass Cutlery Set,Kitchen,Glass,Yes,23.92,4.53,PurePlanet,China,0.863
4,EFP005,Eco Cork Notebook,Office,Cork,Yes,24.2,3.66,LeafWorks,Indonesia,0.546
5,EFP006,Zero-Waste Glass Spatula,Kitchen,Glass,Yes,17.2,3.35,RenewGoods,China,0.881
6,EFP007,Reusable Organic Cotton Soap Dish,Beauty,Organic Cotton,Yes,32.43,3.84,EcoLine,Vietnam,1.295
7,EFP008,Handmade Recycled Metal Cutlery Set,Kitchen,Recycled Metal,Yes,14.41,4.02,PurePlanet,USA,1.031
8,EFP009,Natural Hemp Socks,Fashion,Hemp,Yes,34.97,4.33,PurePlanet,Vietnam,0.797
9,EFP010,Biodegradable Glass Lunch Box,Kitchen,Glass,Yes,71.91,3.02,Sustainify,China,1.659
10,EFP011,Natural Recycled Plastic Mop Head,Cleaning,Recycled Plastic,Yes,17.9,4.13,EcoLine,India,0.614
11,EFP012,Natural Bamboo Makeup Remover,Beauty,Bamboo,Yes,36.86,4.02,LeafWorks,China,0.206
12,EFP013,Natural Recycled Plastic Camping Mug,Outdoors,Recycled Plastic,Yes,18.16,3.79,PurePlanet,Brazil,0.475
13,EFP014,Reusable Recycled Plastic Utensil Set,Outdoors,Recycled Plastic,No,65.03,4.57,NaturePro,USA,0.771
14,EFP015,Reusable Bamboo Toothbrush,Cleaning,Bamboo,Yes,10.84,4.4,RenewGoods,Germany,0.173
15,EFP016,Natural Recycled Plastic Sunscreen Stick,Outdoors,Recycled Plastic,No,27.86,4.79,EcoLine,Vietnam,0.972
16,EFP017,Handmade Bamboo Plant Pot,Home,Bamboo,Yes,109.01,4.42,GreenEarth,India,0.321
17,EFP018,Biodegradable Bamboo Mop Head,Cleaning,Bamboo,Yes,20.89,3.81,NaturePro,USA,0.25
18,EFP019,Sustainable Bamboo Brush,Beauty,Bamboo,Yes,3.61,4.25,NaturePro,India,0.211
19,EFP020,Sustainable Bamboo Coaster,Home,Bamboo,Yes,102.77,4.02,EcoLine,China,0.258
20,EFP021,Eco Organic Cotton Cotton Pad,Beauty,Organic Cotton,Yes,13.82,3.71,GreenEarth,China,1.795
21,EFP022,Handmade Recycled Plastic Lunch Box,Kitchen,Recycled Plastic,Yes,41.03,3.9,EarthCraft,Portugal,0.837
22,EFP023,Zero-Waste Bamboo Rug,Home,Bamboo,No,112.16,3.78,Sustainify,Brazil,0.184
23,EFP024,Sustainable Recycled Plastic Mouse Pad,Office,Recycled Plastic,Yes,34.47,4.0,Sustainify,India,0.421
24,EFP025,Reusable Organic Cotton Rug,Home,Organic Cotton,Yes,63.49,3.99,EcoLine,India,1.474
25,EFP026,Sustainable Hemp Coaster,Home,Hemp,Yes,83.32,3.72,EarthCraft,China,0.935
26,EFP027,Zero-Waste Bamboo Rug,Home,Bamboo,Yes,108.63,3.05,EarthCraft,Turkey,0.163
27,EFP028,Zero-Waste Bamboo Mop Head,Cleaning,Bamboo,Yes,17.64,4.18,RenewGoods,USA,0.135
28,EFP029,Zero-Waste Recycled Metal Storage Jar,Kitchen,Recycled Metal,Yes,66.6,4.18,GreenEarth,India,1.943
29,EFP030,Zero-Waste Bamboo Camping Mug,Outdoors,Bamboo,Yes,69.74,3.5,EarthCraft,India,0.212
30,EFP031,Eco Cork Binder,Office,Cork,Yes,18.68,4.55,EcoLine,Mexico,0.364
31,EFP032,Zero-Waste Cork Candle Holder,Home,Cork,Yes,42.22,5.0,Sustainify,Indonesia,0.306
32,EFP033,Eco Hemp Hat,Fashion,Hemp,No,56.52,3.27,PurePlanet,Portugal,0.86
33,EFP034,Biodegradable Recycled Metal Picnic Mat,Outdoors,Recycled Metal,No,82.03,4.24,EarthCraft,China,1.786
34,EFP035,Biodegradable Organic Cotton Scarf,Fashion,Organic Cotton,Yes,37.67,4.69,LeafWorks,China,1.502
35,EFP036,Sustainable Recycled Plastic Toothbrush,Cleaning,Recycled Plastic,Yes,13.11,3.46,NaturePro,China,0.561
36,EFP037,Eco Bamboo Straw,Kitchen,Bamboo,No,58.32,3.46,Sustainify,USA,0.358
37,EFP038,Biodegradable Bamboo Cleaning Cloth,Cleaning,Bamboo,Yes,25.54,3.41,LeafWorks,Portugal,0.234
38,EFP039,Natural Organic Cotton Cotton Pad,Beauty,Organic Cotton,Yes,14.25,4.38,PurePlanet,USA,0.534
39,EFP040,Zero-Waste Cork Coaster,Home,Cork,Yes,79.65,3.77,GreenEarth,China,0.507
40,EFP041,Natural Organic Cotton Cotton Pad,Beauty,Organic Cotton,No,38.38,4.9,Sustainify,India,1.49
41,EFP042,Natural Bamboo Vase,Home,Bamboo,Yes,85.64,3.71,EcoLine,Vietnam,0.15
42,EFP043,Natural Recycled Plastic Cutlery Set,Kitchen,Recycled Plastic,Yes,15.87,4.15,GreenEarth,Brazil,1.088
43,EFP044,Reusable Bamboo Soap Dish,Beauty,Bamboo,Yes,37.32,4.4,Sustainify,Vietnam,0.27
44,EFP045,Natural Hemp Picnic Mat,Outdoors,Hemp,No,28.41,3.56,EcoLine,China,1.485
45,EFP046,Eco Recycled Plastic Notebook,Office,Recycled Plastic,Yes,32.49,4.49,NaturePro,Germany,0.504
46,EFP047,Biodegradable Organic Cotton Sunscreen Stick,Outdoors,Organic Cotton,Yes,62.34,3.69,EcoLine,China,1.382
47,EFP048,Sustainable Cork Camping Mug,Outdoors,Cork,Yes,22.21,3.29,LeafWorks,Germany,0.767
48,EFP049,Natural Bamboo Storage Jar,Kitchen,Bamboo,Yes,31.75,4.23,EcoLine,Portugal,0.375
49,EFP050,Eco Organic Cotton Vase,Home,Organic Cotton,Yes,117.9,3.51,RenewGoods,Mexico,0.904
50,EFP051,Handmade Recycled Metal Candle Holder,Home,Recycled Metal,Yes,145.37,4.51,RenewGoods,China,2.055
51,EFP052,Handmade Recycled Metal Picnic Mat,Outdoors,Recycled Metal,Yes,95.32,5.0,Sustainify,India,1.911
52,EFP053,Handmade Recycled Metal Straw,Kitchen,Recycled Metal,Yes,28.73,3.91,EarthCraft,India,1.498
53,EFP054,Natural Hemp Plant Pot,Home,Hemp,No,48.72,4.25,Sustainify,India,0.405
54,EFP055,Natural Glass Plant Pot,Home,Glass,Yes,107.51,4.24,PurePlanet,India,1.105
55,EFP056,Eco Recycled Plastic Notebook,Office,Recycled Plastic,Yes,20.63,3.55,PurePlanet,China,0.456
56,EFP057,Eco Cork Notebook,Office,Cork,Yes,25.92,2.98,LeafWorks,Brazil,0.578
57,EFP058,Sustainable Organic Cotton Hat,Fashion,Organic Cotton,Yes,44.67,4.31,EcoLine,Vietnam,0.777
58,EFP059,Biodegradable Bamboo Vase,Home,Bamboo,No,111.14,3.48,Sustainify,India,0.155
59,EFP060,Natural Bamboo Soap Dish,Beauty,Bamboo,Yes,28.68,4.0,GreenEarth,Brazil,0.262
60,EFP061,Zero-Waste Organic Cotton Brush,Beauty,Organic Cotton,Yes,59.71,5.0,PurePlanet,USA,0.94
61,EFP062,Biodegradable Bamboo Bowl,Outdoors,Bamboo,No,40.04,4.82,PurePlanet,USA,0.118
62,EFP063,Reusable Hemp Plant Pot,Home,Hemp,Yes,13.07,4.47,LeafWorks,USA,0.714
63,EFP064,Zero-Waste Recycled Plastic Scrub Pad,Cleaning,Recycled Plastic,Yes,13.56,4.66,NaturePro,Vietnam,0.518
64,EFP065,Handmade Organic Cotton Face Cloth,Beauty,Organic Cotton,No,26.29,3.94,Sustainify,Vietnam,1.064
65,EFP066,Eco Organic Cotton Candle Holder,Home,Organic Cotton,Yes,92.48,4.28,EarthCraft,Germany,1.112
66,EFP067,Biodegradable Recycled Metal Mouse Pad,Office,Recycled Metal,Yes,7.84,4.24,RenewGoods,USA,2.195
67,EFP068,Handmade Organic Cotton T-Shirt,Fashion,Organic Cotton,Yes,49.95,3.97,NaturePro,Turkey,1.117
68,EFP069,Sustainable Glass Coaster,Home,Glass,Yes,122.93,4.37,GreenEarth,USA,0.569
69,EFP070,Sustainable Hemp Sunscreen Stick,Outdoors,Hemp,Yes,75.96,3.83,EarthCraft,Germany,1.031
70,EFP071,Zero-Waste Recycled Metal Binder,Office,Recycled Metal,Yes,10.48,4.74,EarthCraft,USA,2.085
71,EFP072,Zero-Waste Recycled Metal Sunscreen Stick,Outdoors,Recycled Metal,Yes,35.2,4.38,PurePlanet,USA,2.112
72,EFP073,Natural Recycled Metal Plant Pot,Home,Recycled Metal,Yes,153.76,4.97,GreenEarth,China,1.541
73,EFP074,Reusable Organic Cotton Vase,Home,Organic Cotton,Yes,130.19,3.85,RenewGoods,India,1.553
74,EFP075,Handmade Recycled Plastic Cutlery Set,Kitchen,Recycled Plastic,Yes,10.25,4.98,EcoLine,Indonesia,0.744
75,EFP076,Eco Recycled Metal Mouse Pad,Office,Recycled Metal,No,19.31,4.21,PurePlanet,Brazil,1.708
76,EFP077,Biodegradable Hemp Rug,Home,Hemp,Yes,59.51,4.26,Sustainify,USA,0.969
77,EFP078,Zero-Waste Organic Cotton Water Bottle,Outdoors,Organic Cotton,Yes,36.95,4.56,RenewGoods,Brazil,1.462
78,EFP079,Sustainable Hemp Scarf,Fashion,Hemp,Yes,84.73,4.19,RenewGoods,Germany,0.541
79,EFP080,Zero-Waste Glass Spatula,Kitchen,Glass,Yes,36.68,3.66,EarthCraft,China,0.729
80,EFP081,Zero-Waste Organic Cotton Cotton Pad,Beauty,Organic Cotton,Yes,12.57,3.71,RenewGoods,India,0.77
81,EFP082,Handmade Cork Desk Organizer,Office,Cork,Yes,6.8,4.35,EcoLine,Brazil,0.491
82,EFP083,Biodegradable Bamboo Cotton Pad,Beauty,Bamboo,Yes,7.84,3.33,EcoLine,Brazil,0.388
83,EFP084,Sustainable Cork Coaster,Home,Cork,Yes,138.49,3.36,NaturePro,USA,0.368
84,EFP085,Biodegradable Bamboo Straw,Kitchen,Bamboo,Yes,49.68,4.71,LeafWorks,China,0.163
85,EFP086,Eco Glass Brush,Beauty,Glass,Yes,3.88,4.1,NaturePro,Mexico,0.504
86,EFP087,Sustainable Bamboo Soap Bar,Cleaning,Bamboo,Yes,7.92,4.51,RenewGoods,India,0.34
87,EFP088,Biodegradable Recycled Metal Lunch Box,Kitchen,Recycled Metal,Yes,30.0,5.0,Sustainify,China,1.365
88,EFP089,Handmade Recycled Metal Lunch Box,Kitchen,Recycled Metal,Yes,7.24,4.33,RenewGoods,Vietnam,0.952
89,EFP090,Handmade Bamboo Face Cloth,Beauty,Bamboo,Yes,45.16,4.21,EarthCraft,China,0.307
90,EFP091,Biodegradable Cork Picnic Mat,Outdoors,Cork,Yes,49.62,4.72,NaturePro,Brazil,0.269
91,EFP092,Handmade Cork Binder,Office,Cork,No,46.55,4.31,EarthCraft,USA,0.511
92,EFP093,Natural Hemp Utensil Set,Outdoors,Hemp,No,30.86,2.93,GreenEarth,India,0.778
93,EFP094,Sustainable Recycled Plastic Sunscreen Stick,Outdoors,Recycled Plastic,Yes,94.5,3.88,LeafWorks,China,0.91
94,EFP095,Reusable Hemp Hat,Fashion,Hemp,Yes,41.33,3.66,PurePlanet,India,1.387
95,EFP096,Sustainable Hemp Utensil Set,Outdoors,Hemp,Yes,108.91,4.5,Sustainify,China,0.942
96,EFP097,Handmade Recycled Metal Binder,Office,Recycled Metal,Yes,56.23,4.91,EarthCraft,Vietnam,1.858
97,EFP098,Natural Recycled Plastic Storage Jar,Kitchen,Recycled Plastic,Yes,32.98,3.92,Sustainify,India,1.244
98,EFP099,Sustainable Recycled Plastic Sunscreen Stick,Outdoors,Recycled Plastic,Yes,69.74,3.24,LeafWorks,India,0.525
99,EFP100,Reusable Recycled Plastic Desk Organizer,Office,Recycled Plastic,Yes,35.72,3.84,Sustainify,India,1.128
100,EFP101,Reusable Recycled Metal Candle Holder,Home,Recycled Metal,Yes,144.48,3.93,PurePlanet,Brazil,1.216
101,EFP102,Natural Cork Sunscreen Stick,Outdoors,Cork,No,96.07,4.57,Sustainify,India,0.41
102,EFP103,Biodegradable Organic Cotton Face Cloth,Beauty,Organic Cotton,Yes,35.31,4.4,PurePlanet,China,1.297
103,EFP104,Reusable Bamboo Brush,Beauty,Bamboo,Yes,28.53,3.75,EarthCraft,China,0.272
104,EFP105,Zero-Waste Bamboo Makeup Remover,Beauty,Bamboo,Yes,39.47,4.59,NaturePro,Mexico,0.263
105,EFP106,Handmade Organic Cotton Water Bottle,Outdoors,Organic Cotton,Yes,18.66,5.0,EarthCraft,China,1.022
106,EFP107,Reusable Glass Cutlery Set,Kitchen,Glass,Yes,28.66,4.04,PurePlanet,China,1.151
107,EFP108,Sustainable Organic Cotton Sunscreen Stick,Outdoors,Organic Cotton,No,52.47,4.63,Sustainify,Turkey,1.809
108,EFP109,Handmade Recycled Plastic Utensil Set,Outdoors,Recycled Plastic,Yes,19.39,3.18,RenewGoods,India,0.883
109,EFP110,Eco Glass Brush,Beauty,Glass,No,25.15,4.17,Sustainify,Germany,1.007
110,EFP111,Reusable Organic Cotton Tote Bag,Fashion,Organic Cotton,Yes,17.13,4.42,GreenEarth,China,0.755
111,EFP112,Eco Recycled Plastic Utensil Set,Outdoors,Recycled Plastic,Yes,74.36,3.64,PurePlanet,Vietnam,0.75
112,EFP113,Handmade Recycled Plastic Soap Bar,Cleaning,Recycled Plastic,Yes,6.88,3.88,Sustainify,USA,0.44
113,EFP114,Handmade Recycled Plastic Soap Bar,Cleaning,Recycled Plastic,Yes,6.74,3.72,EcoLine,China,0.524
114,EFP115,Eco Organic Cotton Makeup Remover,Beauty,Organic Cotton,Yes,32.94,3.78,PurePlanet,Vietnam,1.804
115,EFP116,Zero-Waste Cork Sunscreen Stick,Outdoors,Cork,Yes,11.07,4.33,EcoLine,Indonesia,0.717
116,EFP117,Eco Recycled Metal Water Bottle,Outdoors,Recycled Metal,Yes,25.81,4.03,EcoLine,Mexico,1.585
117,EFP118,Eco Glass Rug,Home,Glass,Yes,73.12,2.82,NaturePro,USA,0.523
118,EFP119,Sustainable Glass Candle Holder,Home,Glass,Yes,112.48,5.0,EarthCraft,Mexico,0.636
119,EFP120,Natural Recycled Plastic Utensil Set,Outdoors,Recycled Plastic,Yes,42.69,4.87,NaturePro,India,0.568
120,EFP121,Zero-Waste Glass Vase,Home,Glass,Yes,10.85,3.81,EcoLine,USA,0.775
121,EFP122,Handmade Organic Cotton Face Cloth,Beauty,Organic Cotton,Yes,37.97,3.55,EcoLine,Vietnam,1.437
122,EFP123,Reusable Recycled Plastic Water Bottle,Outdoors,Recycled Plastic,Yes,12.42,5.0,EarthCraft,Germany,0.597
123,EFP124,Sustainable Recycled Metal Plant Pot,Home,Recycled Metal,Yes,50.53,4.52,PurePlanet,USA,1.772
124,EFP125,Biodegradable Glass Storage Jar,Kitchen,Glass,Yes,31.48,3.36,Sustainify,Vietnam,0.548
125,EFP126,Zero-Waste Organic Cotton Scarf,Fashion,Organic Cotton,Yes,30.83,4.54,GreenEarth,USA,0.738
126,EFP127,Biodegradable Bamboo Straw,Kitchen,Bamboo,Yes,15.96,4.23,PurePlanet,USA,0.281
127,EFP128,Zero-Waste Recycled Plastic Camping Mug,Outdoors,Recycled Plastic,Yes,13.72,3.7,RenewGoods,China,1.255
128,EFP129,Handmade Glass Cotton Pad,Beauty,Glass,Yes,38.6,4.5,RenewGoods,India,1.442
129,EFP130,Natural Recycled Metal Water Bottle,Outdoors,Recycled Metal,Yes,66.57,3.61,EarthCraft,Indonesia,1.633
130,EFP131,Natural Recycled Plastic Utensil Set,Outdoors,Recycled Plastic,Yes,29.84,3.22,RenewGoods,USA,0.517
131,EFP132,Reusable Organic Cotton Vase,Home,Organic Cotton,Yes,53.11,4.23,Sustainify,Indonesia,0.774
132,EFP133,Zero-Waste Recycled Plastic File Holder,Office,Recycled Plastic,Yes,17.74,3.68,RenewGoods,India,0.555
133,EFP134,Zero-Waste Glass Cotton Pad,Beauty,Glass,No,20.62,3.97,NaturePro,USA,0.848
134,EFP135,Eco Glass Straw,Kitchen,Glass,Yes,54.22,2.72,EarthCraft,China,1.036
135,EFP136,Zero-Waste Bamboo Storage Jar,Kitchen,Bamboo,No,59.99,3.72,PurePlanet,India,0.183
136,EFP137,Handmade Glass Face Cloth,Beauty,Glass,Yes,42.61,4.25,RenewGoods,Mexico,1.241
137,EFP138,Eco Glass Rug,Home,Glass,Yes,29.35,4.11,Sustainify,Germany,0.63
138,EFP139,Eco Hemp Backpack,Fashion,Hemp,Yes,28.07,4.37,GreenEarth,Brazil,0.898
139,EFP140,Reusable Recycled Metal Straw,Kitchen,Recycled Metal,Yes,38.36,5.0,EcoLine,China,1.357
140,EFP141,Natural Hemp Plant Pot,Home,Hemp,Yes,65.73,4.21,Sustainify,USA,0.786
141,EFP142,Reusable Recycled Plastic Dish Brush,Cleaning,Recycled Plastic,Yes,11.87,5.0,RenewGoods,Germany,1.096
142,EFP143,Zero-Waste Organic Cotton Candle Holder,Home,Organic Cotton,Yes,31.08,3.31,EarthCraft,India,0.863
143,EFP144,Biodegradable Bamboo Utensil Set,Outdoors,Bamboo,Yes,60.22,4.89,GreenEarth,USA,0.387
144,EFP145,Zero-Waste Organic Cotton Brush,Beauty,Organic Cotton,Yes,11.23,4.7,EarthCraft,Indonesia,0.676
145,EFP146,Eco Bamboo Picnic Mat,Outdoors,Bamboo,Yes,81.04,3.69,LeafWorks,USA,0.247
146,EFP147,Handmade Cork Notebook,Office,Cork,Yes,8.53,4.04,PurePlanet,China,0.545
147,EFP148,Sustainable Hemp Water Bottle,Outdoors,Hemp,Yes,32.03,3.61,PurePlanet,Turkey,1.128
148,EFP149,Biodegradable Organic Cotton Cotton Pad,Beauty,Organic Cotton,Yes,41.79,3.74,PurePlanet,Vietnam,0.953
149,EFP150,Eco Recycled Metal Vase,Home,Recycled Metal,No,94.42,3.45,EcoLine,India,1.751
150,EFP151,Reusable Recycled Plastic File Holder,Office,Recycled Plastic,Yes,8.23,5.0,PurePlanet,India,0.496
151,EFP152,Handmade Recycled Plastic Dish Brush,Cleaning,Recycled Plastic,Yes,22.29,4.28,LeafWorks,USA,1.059
152,EFP153,Handmade Hemp Socks,Fashion,Hemp,No,61.82,5.0,PurePlanet,Brazil,0.909
153,EFP154,Eco Organic Cotton Hat,Fashion,Organic Cotton,Yes,110.66,5.0,Sustainify,Indonesia,0.905
154,EFP155,Natural Recycled Metal Binder,Office,Recycled Metal,Yes,58.64,4.23,RenewGoods,China,1.572
155,EFP156,Biodegradable Recycled Plastic Utensil Set,Outdoors,Recycled Plastic,Yes,9.23,4.86,PurePlanet,Germany,0.759
156,EFP157,Biodegradable Hemp Coaster,Home,Hemp,Yes,51.6,4.69,EcoLine,Germany,0.711
157,EFP158,Reusable Cork Binder,Office,Cork,Yes,32.07,4.24,EarthCraft,Portugal,0.371
158,EFP159,Reusable Organic Cotton Water Bottle,Outdoors,Organic Cotton,Yes,20.32,2.58,EcoLine,India,1.474
159,EFP160,Sustainable Recycled Plastic Cutlery Set,Kitchen,Recycled Plastic,Yes,35.2,4.17,EarthCraft,India,0.453
160,EFP161,Zero-Waste Cork Sunscreen Stick,Outdoors,Cork,Yes,26.11,4.04,NaturePro,Indonesia,0.383
161,EFP162,Zero-Waste Glass Rug,Home,Glass,No,74.8,3.54,PurePlanet,China,0.68
162,EFP163,Reusable Recycled Plastic Picnic Mat,Outdoors,Recycled Plastic,Yes,24.76,3.86,GreenEarth,Mexico,0.434
163,EFP164,Zero-Waste Recycled Plastic Notebook,Office,Recycled Plastic,Yes,18.78,3.87,GreenEarth,Portugal,0.93
164,EFP165,Reusable Hemp Backpack,Fashion,Hemp,Yes,53.95,4.95,EcoLine,China,0.524
165,EFP166,Reusable Organic Cotton Rug,Home,Organic Cotton,Yes,154.32,2.96,Sustainify,Germany,0.907
166,EFP167,Handmade Hemp Socks,Fashion,Hemp,Yes,62.9,4.76,EcoLine,India,0.444
167,EFP168,Natural Cork Rug,Home,Cork,Yes,38.6,4.96,GreenEarth,Vietnam,0.236
168,EFP169,Handmade Bamboo Soap Bar,Cleaning,Bamboo,No,19.16,3.47,LeafWorks,China,0.143
169,EFP170,Zero-Waste Organic Cotton Vase,Home,Organic Cotton,Yes,127.72,4.63,GreenEarth,USA,1.414
170,EFP171,Sustainable Recycled Metal Straw,Kitchen,Recycled Metal,Yes,49.62,4.56,EcoLine,Brazil,0.693
171,EFP172,Natural Hemp Sunscreen Stick,Outdoors,Hemp,Yes,23.18,4.01,EcoLine,China,0.652
172,EFP173,Biodegradable Recycled Plastic Picnic Mat,Outdoors,Recycled Plastic,Yes,43.31,3.89,EarthCraft,China,0.562
173,EFP174,Eco Bamboo Candle Holder,Home,Bamboo,Yes,69.95,4.83,LeafWorks,India,0.27
174,EFP175,Sustainable Glass Throw Pillow,Home,Glass,Yes,77.02,4.33,GreenEarth,Turkey,1.058
175,EFP176,Handmade Bamboo Vase,Home,Bamboo,Yes,107.44,4.14,EarthCraft,Indonesia,0.389
176,EFP177,Zero-Waste Recycled Plastic Picnic Mat,Outdoors,Recycled Plastic,Yes,32.21,4.38,LeafWorks,USA,0.762
177,EFP178,Biodegradable Glass Candle Holder,Home,Glass,No,29.66,3.17,GreenEarth,China,1.474
178,EFP179,Biodegradable Bamboo Water Bottle,Outdoors,Bamboo,Yes,19.3,4.32,NaturePro,USA,0.206
179,EFP180,Eco Recycled Plastic File Holder,Office,Recycled Plastic,Yes,27.81,3.61,RenewGoods,Indonesia,0.438
180,EFP181,Natural Recycled Metal Sunscreen Stick,Outdoors,Recycled Metal,Yes,26.5,4.35,Sustainify,China,1.776
181,EFP182,Handmade Recycled Plastic Reusable Wrap,Kitchen,Recycled Plastic,Yes,14.55,4.79,GreenEarth,Brazil,0.667
182,EFP183,Handmade Recycled Plastic Sunscreen Stick,Outdoors,Recycled Plastic,Yes,38.67,4.51,EcoLine,Germany,0.492
183,EFP184,Eco Glass Shampoo Bar,Beauty,Glass,Yes,14.43,3.76,PurePlanet,Portugal,0.766
184,EFP185,Sustainable Organic Cotton Candle Holder,Home,Organic Cotton,Yes,105.57,3.63,GreenEarth,China,1.556
185,EFP186,Biodegradable Glass Storage Jar,Kitchen,Glass,Yes,45.82,5.0,RenewGoods,USA,0.521
186,EFP187,Biodegradable Organic Cotton Shampoo Bar,Beauty,Organic Cotton,Yes,30.37,5.0,GreenEarth,Indonesia,1.081
187,EFP188,Biodegradable Bamboo Coaster,Home,Bamboo,Yes,17.47,4.14,EarthCraft,Vietnam,0.305
188,EFP189,Natural Recycled Plastic Picnic Mat,Outdoors,Recycled Plastic,Yes,57.57,4.62,GreenEarth,India,1.047
189,EFP190,Sustainable Bamboo Throw Pillow,Home,Bamboo,Yes,40.66,3.86,EcoLine,India,0.182
190,EFP191,Reusable Cork Coaster,Home,Cork,Yes,104.4,4.16,Sustainify,Brazil,0.368
191,EFP192,Eco Recycled Metal Utensil Set,Outdoors,Recycled Metal,Yes,114.09,4.57,RenewGoods,China,2.075
192,EFP193,Sustainable Recycled Plastic Scrub Pad,Cleaning,Recycled Plastic,Yes,19.46,4.16,LeafWorks,China,0.687
193,EFP194,Eco Hemp Hat,Fashion,Hemp,Yes,75.58,3.2,GreenEarth,Indonesia,1.245
194,EFP195,Biodegradable Recycled Plastic Bowl,Outdoors,Recycled Plastic,Yes,19.98,3.55,GreenEarth,USA,1.267
195,EFP196,Zero-Waste Cork Rug,Home,Cork,Yes,121.36,4.83,LeafWorks,China,0.773
196,EFP197,Sustainable Hemp Hat,Fashion,Hemp,Yes,42.4,4.26,GreenEarth,India,0.558
197,EFP198,Natural Organic Cotton Cotton Pad,Beauty,Organic Cotton,No,8.52,3.92,GreenEarth,USA,1.068
198,EFP199,Handmade Bamboo Candle Holder,Home,Bamboo,Yes,14.71,5.0,NaturePro,India,0.223
199,EFP200,Sustainable Bamboo Cutlery Set,Kitchen,Bamboo,Yes,57.12,4.32,GreenEarth,China,0.152
200,EFP201,Handmade Recycled Metal Mouse Pad,Office,Recycled Metal,Yes,39.23,4.25,EarthCraft,Vietnam,2.4
201,EFP202,Sustainable Hemp Bowl,Outdoors,Hemp,Yes,100.49,4.84,LeafWorks,China,1.054
202,EFP203,Natural Bamboo Bowl,Outdoors,Bamboo,No,49.53,3.93,EcoLine,India,0.259
203,EFP204,Eco Bamboo Picnic Mat,Outdoors,Bamboo,Yes,23.16,5.0,PurePlanet,China,0.199
204,EFP205,Sustainable Hemp Scarf,Fashion,Hemp,Yes,32.94,4.18,EarthCraft,Germany,0.854
205,EFP206,Zero-Waste Cork Water Bottle,Outdoors,Cork,No,30.21,4.34,Sustainify,India,0.524
206,EFP207,Zero-Waste Recycled Plastic Toothbrush,Cleaning,Recycled Plastic,Yes,13.91,4.17,LeafWorks,Mexico,0.716
207,EFP208,Reusable Bamboo Storage Jar,Kitchen,Bamboo,Yes,55.41,4.6,EarthCraft,USA,0.378
208,EFP209,Natural Glass Plant Pot,Home,Glass,Yes,86.14,3.82,LeafWorks,Vietnam,0.652
209,EFP210,Natural Bamboo Face Cloth,Beauty,Bamboo,Yes,34.76,3.88,RenewGoods,India,0.182
210,EFP211,Eco Recycled Metal Plant Pot,Home,Recycled Metal,Yes,163.37,5.0,NaturePro,Portugal,1.519
211,EFP212,Sustainable Organic Cotton Camping Mug,Outdoors,Organic Cotton,Yes,86.51,3.86,GreenEarth,India,0.866
212,EFP213,Biodegradable Recycled Plastic Pen,Office,Recycled Plastic,Yes,23.64,3.83,GreenEarth,Vietnam,1.231
213,EFP214,Natural Recycled Plastic Notebook,Office,Recycled Plastic,Yes,35.6,3.97,Sustainify,India,0.885
214,EFP215,Reusable Recycled Metal Candle Holder,Home,Recycled Metal,Yes,22.9,3.37,PurePlanet,Indonesia,1.823
215,EFP216,Sustainable Bamboo Vase,Home,Bamboo,Yes,15.83,3.76,LeafWorks,Indonesia,0.241
